,Product,Price(in Rs.),Rating
18,Asus ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,84990,4.6
19,HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14S-ER0003TU Thin and Light Lapto...,62990,4.3
20,HP Pavilion x360 Core i7 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 14-dh0112T...,79990,4.7
21,Asus VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC372TS 2 in 1 Lapt...,48990,4.4
22,Acer Aspire 7 Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,69990,4.5
23,HP Omen Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti)...,75990,4.7
24,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB039T Thin...,53990,4.4
25,Lenovo Ideapad S540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S540-1...,65990,4.5
26,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,59990,4.3
27,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK512T Thin and ...,55990,4.4
28,Acer Aspire 7 Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 16...,57990,3.9
29,Honor MagicBook 15 Ryzen 5 Quad Core - (8 GB/256 GB SSD/Windows 10 Home) Boh-WAQ9HNR Thin and Light La...,42990,4.8
30,Lenovo Ideapad Flex 5 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14IIL05 2 in 1 Laptop,46990,3.6
31,Asus ROG Strix G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GT...,79990,4.5
32,Asus ROG Strix G Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,82990,4.6
33,HP 15s Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0132AU Thin and Light Laptop,57990,4.5
34,Asus ZenBook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX425JA-BM076TS Thin and Light La...,79990,4.9
35,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,59990,4.3
36,HP Omen Ryzen 7 Octa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti)...,85990,4.7
37,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop,52990,4.2
38,HP 15s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 15s-dr2007tx Laptop,74950,3.8
39,Dell Inspiron Pentium Gold - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3480 Thin and Light Laptop,29643,4.2
40,Asus VivoBook 15 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) X543UB-DM581T Laptop,44760,4.2
41,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,82990,4.4
42,Acer Aspire 3 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) A315-56 Laptop,33990,3.9
43,Acer Aspire 3 Core i5 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) A315-56 Laptop,45990,4.8
44,HP Pavilion Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,73990,4.5
45,Acer Swift 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-57/SF314-57G Thi...,65490,4.4
46,HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- DR1009TU Thin and Light Laptop,61933,4.4
47,HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,53990,3.3
